DIR,SRC,BRANCH,SCM
src/third_party/modp_b64,http://src.chromium.org/svn/trunk/src/third_party/modp_b64,119173,SVN
src/third_party/nss,http://src.chromium.org/svn/trunk/deps/third_party/nss,119173,SVN
src/third_party/sqlite,http://src.chromium.org/svn/trunk/src/third_party/sqlite,119173,SVN
src/third_party/wtl,http://src.chromium.org/svn/trunk/src/third_party/wtl,119173,SVN
src/third_party/zlib,http://src.chromium.org/svn/trunk/src/third_party/zlib,119173,SVN
src/testing,http://src.chromium.org/svn/trunk/src/testing,119173,SVN
src/testing/gmock,http://googlemock.googlecode.com/svn/trunk,374,SVN
src/testing/gtest,http://googletest.googlecode.com/svn/trunk,492,SVN
src/tools/gyp,http://gyp.googlecode.com/svn/trunk,1233,SVN
src/tools/win,http://src.chromium.org/svn/trunk/src/tools/win,119173,SVN
src/third_party/crashpad/third_party/gtest/gtest,https://chromium.googlesource.com/external/github.com/google/googletest,786564fa4a3c8e0f908acca32cce481de5481b9f,GIT
src/third_party/crashpad/third_party/gyp/gyp,https://chromium.googlesource.com/external/gyp,01528c7244837168a1c80f06ff60fa5a9793c824,GIT
src/third_party/crashpad/third_party/mini_chromium/mini_chromium,https://chromium.googlesource.com/chromium/mini_chromium,43f04e7299621f708801bf475c84d9f294826ff9,GIT
buildtools,https://chromium.googlesource.com/chromium/buildtools.git,c2f259809d5ede3275df5ea0842f0431990c4f98,GIT
